Entry,Study,Author,Study.Year,Family,W.Spp,W.Var,D.Spp,D.Var,D.Common,Life.Hist,Dom.Extent,Crop.Use,Org.Meas,Org.Use,Source,Response.Type,Response.Direction,Mean.Wild,SD.Wild,N.Wild,Mean.Dom,SD.Dom,N.Dom,Description of response variable
504,27,Villafuerte,2013a,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,nr,maize,ha,m,g,l,nh,f2.4A,herb.pref,1,0.416,0.27886,15,0.641,0.41828,15,"Mean number of eggs per centimeter of leaf midrib, with choice"
505,28,Villafuerte,2013b,Poaceae,Zea_diploperennis,perennial teosinte,Zea_mays,mays Tuxpeno,maize,ha,l,g,l,nh,t3.1,herb.pref,1,0.4,0.50349,15,0.4,0.50349,15,Proportion of feedings by herbivore with honeydew excretion
506,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,mays Tuxpeno,maize,ha,l,g,l,nh,t3.1,herb.pref,1,0.4,0.50349,15,0.4,0.50349,15,Proportion of feedings by herbivore with honeydew excretion
507,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,mays Tuxpeno,maize,ha,l,g,l,nh,t3.1,herb.pref,1,0.31,0.48,16,0.4,0.50349,15,Proportion of feedings by herbivore with honeydew excretion
508,28,Villafuerte,2013b,Poaceae,Zea_diploperennis,perennial teosinte,Zea_mays,nr,maize,ha,m,g,l,nh,t3.1,herb.pref,1,0.4,0.50349,15,0.67,0.50349,15,Proportion of feedings by herbivore with honeydew excretion
509,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,nr,maize,ha,m,g,l,nh,t3.1,herb.pref,1,0.4,0.50349,15,0.67,0.50349,15,Proportion of feedings by herbivore with honeydew excretion
510,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,nr,maize,ha,m,g,l,nh,t3.1,herb.pref,1,0.31,0.48,16,0.67,0.50349,15,Proportion of feedings by herbivore with honeydew excretion
511,28,Villafuerte,2013b,Poaceae,Zea_diploperennis,perennial teosinte,Zea_mays,mays Tuxpeno,maize,ha,l,g,l,nh,t3.2,herb.pref,1,9.33,7.90089,15,8.33,6.42915,15,"Mean number of eggs laid by females, no choice"
512,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,mays Tuxpeno,maize,ha,l,g,l,nh,t3.2,herb.pref,1,9,6.85518,15,8.33,6.42915,15,"Mean number of eggs laid by females, no choice"
513,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,mays Tuxpeno,maize,ha,l,g,l,nh,t3.2,herb.pref,1,5.75,10,16,8.33,6.42915,15,"Mean number of eggs laid by females, no choice"
514,28,Villafuerte,2013b,Poaceae,Zea_diploperennis,perennial teosinte,Zea_mays,nr,maize,ha,m,g,l,nh,t3.2,herb.pref,1,9.33,7.90089,15,7.2,8.63675,15,"Mean number of eggs laid by females, no choice"
515,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,nr,maize,ha,m,g,l,nh,t3.2,herb.pref,1,9,6.85518,15,7.2,8.63675,15,"Mean number of eggs laid by females, no choice"
516,28,Villafuerte,2013b,Poaceae,Zea_mays,parviglumis Balsas teosinte,Zea_mays,nr,maize,ha,m,g,l,nh,t3.2,herb.pref,1,5.75,10,16,7.2,8.63675,15,"Mean number of eggs laid by females, no choice"
517,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1,chem,0,6.589,5.03115,5,13.661,2.87335,5,total glucosinolate concentrations in leaves of cultivar and Kimmeridge population (undamaged)
518,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1,chem,0,21.536,9.7023,5,13.661,2.87335,5,total glucosinolate concentrations in leaves of cultivar and Old Harry population (undamaged)
519,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1,chem,0,42.268,11.5001,5,13.661,2.87335,5,total glucosinolate concentrations in leaves of cultivar and Winspit population (undamaged)
523,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3a,herb.perform,1,153.832,16.75698,41,167.29,17.47986,48,Pupal fresh mass of Pieris rapae reared on cultivar and Kimmeridge population (mg)
524,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3a,herb.perform,1,166.449,18.86424,52,167.29,17.47986,48,Pupal fresh mass of Pieris rapae reared on cultivar and Old Harry population (mg)
525,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3a,herb.perform,1,163.271,18.97,49,167.29,17.47986,48,Pupal fresh mass of Pieris rapae reared on cultivar and Winspit population (mg)
526,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3b,herb.perform,0,23.273,0.99889,49,20.661,1.44107,48,"Larval development time, from egg to pupa, of Pieris rapae reared on cultivar and Kimmeridge population (days)"
527,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3b,herb.perform,0,21.336,1.24752,49,20.661,1.44107,48,"Larval development time, from egg to pupa, of Pieris rapae reared on cultivar and Old Harry population (days)"
528,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3b,herb.perform,0,22.772,1.449,49,20.661,1.44107,48,"Larval development time, from egg to pupa, of Pieris rapae reared on cultivar and Winspit population (days)"
541,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f6a,herb.perform,1,358.714,38.02621,84,400.207,55.32901,79,pupal fresh mass of Mamestra brassicae reared on cultivar and Kimmeridge pupulation (mg)
542,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f6a,herb.perform,1,293.361,72.91649,61,400.207,55.32901,79,pupal fresh mass of Mamestra brassicae reared on cultivar and Old Harry pupulation (mg)
543,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f6b,herb.perform,0,34.101,5.26996,84,33.813,2.5598,79,"larval development time, egg to pupa, of Mamestra brassicae reared on cultivar and Kimmeridge pupulation (days)"
544,29,Gols et al,2008b,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f6b,herb.perform,0,48.201,13.4883,61,33.813,2.5598,79,"larval development time, egg to pupa, of Mamestra brassicae reared on cultivar and Old Harry pupulation (days)"
563,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1a,herb.perform,0,17.242,0.912,36,17.034,0.8784,51,development time in days from egg to adult of Plutella xylostella parasitized by Diadegma semiclausum males only
564,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1a,herb.perform,0,17.337,0.855,25,16.987,0.80292,37,development time in days from egg to adult of Plutella xylostella parasitized by Diadegma semiclausum females only
565,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1a,herb.perform,0,16.57,1.27628,29,17.034,0.8784,51,development time in days from egg to adult of Plutella xylostella parasitized by Diadegma semiclausum males only
566,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1a,herb.perform,0,16.381,0.75828,33,16.987,0.80292,37,development time in days from egg to adult of Plutella xylostella parasitized by Diadegma semiclausum females only
571,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1e,herb.perform,0,30.253,0.64846,20,30.012,0.59785,17,"development time in days from egg to adult of Pieris brassicae parasitized by Cotesia glomerata, males only"
572,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1e,herb.perform,0,29.892,0.53666,20,29.892,0.88897,28,"development time in days from egg to adult of Pieris brassicae parasitized by Cotesia glomerata, females only"
573,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1e,herb.perform,0,30.157,1.05049,19,30.012,0.59785,17,"development time in days from egg to adult of Pieris brassicae parasitized by Cotesia glomerata, males only"
574,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1e,herb.perform,0,29.651,0.75132,20,29.892,0.88897,28,"development time in days from egg to adult of Pieris brassicae parasitized by Cotesia glomerata, females only"
579,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1b,herb.perform,1,1.092,0.216,36,1.128,0.0857,51,adult dry weight in mg of Plutella xylostella parasitized by Diadegma semiclausum males only
580,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1b,herb.perform,1,2.352,0.12,25,2.364,0.21898,37,adult dry weight in mg of Plutella xylostella parasitized by Diadegma semiclausum females only
581,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1b,herb.perform,1,1.092,0.32311,29,1.128,0.0857,51,adult dry weight in mg of Plutella xylostella parasitized by Diadegma semiclausum males only
582,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1b,herb.perform,1,2.256,0.27574,33,2.364,0.21898,37,adult dry weight in mg of Plutella xylostella parasitized by Diadegma semiclausum females only
587,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1f,herb.perform,1,60.8,4.29325,20,61.92,3.29848,17,"adult dry weight in mg of Pieris brassicae parasitized by Cotesia glomerata, males only"
588,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1f,herb.perform,1,65.76,5.72433,20,67.68,4.2332,28,"adult dry weight in mg of Pieris brassicae parasitized by Cotesia glomerata, females only"
589,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1f,herb.perform,1,57.12,6.27681,19,61.92,3.29848,17,"adult dry weight in mg of Pieris brassicae parasitized by Cotesia glomerata, males only"
590,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,f1f,herb.perform,1,64.96,5.00879,20,67.68,4.2332,28,"adult dry weight in mg of Pieris brassicae parasitized by Cotesia glomerata, females only"
595,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Wageningen (NL),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,t1,chem,0,33.2,11.17721,13,30.2,12.97998,13,Total GS concentrations in damaged leaves (collected from both parasitized and unparasitized Plutella xylotella)
596,31,Gols et al,2009,Brassicaceae,Brassica_nigra,Scopello (IT),Brassica_nigra,Junius,black mustard,ha,m,v,l,nh,t1,chem,0,44.7,13.70109,13,30.2,12.97998,13,Total GS concentrations in damaged leaves (collected from both parasitized and unparasitized Plutella xylotella)
603,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3,chem,0,5.877,3.684,9,9.649,0.528,9,"glucosinolate concentration measured in undamaged Brassica oleracea leaves, comparing the cultivated Cyrus variety and the wild Kimmeridge population"
604,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f3,chem,0,5.877,3.684,9,7.105,1.314,9,"glucosinolate concentration measured in undamaged Brassica oleracea leaves, comparing the cultivated Stonehead variety and the wild Kimmeridge population"
605,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3,chem,0,7.895,0.789,9,9.649,0.528,9,"glucosinolate concentration measured in undamaged Brassica oleracea leaves, comparing the cultivated Cyrus variety and the wild Old Harry population"
606,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f3,chem,0,7.895,0.789,9,7.105,1.314,9,"glucosinolate concentration measured in undamaged Brassica oleracea leaves, comparing the cultivated Stonehead variety and the wild Old Harry population"
607,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f3,chem,0,34.211,0,9,9.649,0.528,9,"glucosinolate concentration measured in undamaged Brassica oleracea leaves, comparing the cultivated Cyrus variety and the wild Winspit population"
608,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f3,chem,0,34.211,0,9,7.105,1.314,9,"glucosinolate concentration measured in undamaged Brassica oleracea leaves, comparing the cultivated Stonehead variety and the wild Winspit population"
615,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1a,herb.perform,0,23.585,0.59767,10,23.396,1.19534,10,"larval development time of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Cyrus and the wild population Kimmeridge (days)"
616,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1a,herb.perform,0,27.17,0.59451,10,23.396,1.19534,10,"larval development time of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Cyrus and the wild population Old Harry (days)"
617,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1a,herb.perform,0,51.698,6.56489,10,23.396,1.19534,10,"larval development time of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Cyrus and the wild population Winspit (days)"
618,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1a,herb.perform,0,23.585,0.59767,10,23.585,0.59767,10,"larval development time of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Stonehead and the wild population Kimmeridge (days)"
619,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1a,herb.perform,0,27.17,0.59451,10,23.585,0.59767,10,"larval development time of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Stonehead and the wild population Old Harry (days)"
620,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1a,herb.perform,0,51.698,6.56489,10,23.585,0.59767,10,"larval development time of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Stonehead and the wild population Winspit (days)"
625,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1b,herb.perform,1,499.367,30.02266,10,516.456,6.002,10,"pupal mass of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Cyrus and the wild population Kimmeridge (mg)"
626,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1b,herb.perform,1,453.797,24.0175,10,516.456,6.002,10,"pupal mass of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Cyrus and the wild population Old Harry (mg)"
627,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1b,herb.perform,1,275.316,24.01434,10,516.456,6.002,10,"pupal mass of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Cyrus and the wild population Winspit (mg)"
628,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1b,herb.perform,1,499.367,30.02266,10,482.278,18.0155,10,"pupal mass of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Stonehead and the wild population Kimmeridge (mg)"
629,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1b,herb.perform,1,453.797,24.0175,10,482.278,18.0155,10,"pupal mass of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Stonehead and the wild population Old Harry (mg)"
630,33,Harvey & Gols,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1b,herb.perform,1,275.316,24.01434,10,482.278,18.0155,10,"pupal mass of M. brassicae raised on undamaged B. oleracea leaves, comparing the cultivated var. Stonehead and the wild population Winspit (mg)"
683,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1a,herb.perform,1,374.132,21.41402,8,438.486,21.41402,8,average fresh pupal mass of P. brassicae raised on the cultivated B. oleracea var. cyrus and the wild population Kimmeridge (mg)
684,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1a,herb.perform,1,400.631,21.41402,8,438.486,21.41402,8,average fresh pupal mass of P. brassicae raised on the cultivated B. oleracea var. cyrus and the wild population Old Harry (mg)
685,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1a,herb.perform,1,419.558,21.41402,8,438.486,21.41402,8,average fresh pupal mass of P. brassicae raised on the cultivated B. oleracea var. cyrus and the wild population Winspit (mg)
686,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1a,herb.perform,1,374.132,21.41402,8,417.666,21.41402,8,average fresh pupal mass of P. brassicae raised on the cultivated B. oleracea var. Stonehead and the wild population Kimmeridge (mg)
687,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1a,herb.perform,1,400.631,21.41402,8,417.666,21.41402,8,average fresh pupal mass of P. brassicae raised on the cultivated B. oleracea var. Stonehead and the wild population Old Harry (mg)
688,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1a,herb.perform,1,419.558,21.41402,8,417.666,21.41402,8,average fresh pupal mass of P. brassicae raised on the cultivated B. oleracea var. Stonehead and the wild population Winspit (mg)
689,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1b,herb.perform,0,24.296,1.25865,8,22.519,0.83721,8,average egg-to-pupa development time of P. brassicae raised on the cultivated B. oleracea var. cyrus and the wild population Kimmeridge (days)
690,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1b,herb.perform,0,22.815,1.04652,8,22.519,0.83721,8,average egg-to-pupa development time of P. brassicae raised on the cultivated B. oleracea var. cyrus and the wild population Old Harry (days)
691,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,f1b,herb.perform,0,22.815,0.41861,8,22.519,0.83721,8,average egg-to-pupa development time of P. brassicae raised on the cultivated B. oleracea var. cyrus and the wild population Winspit (days)
692,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1b,herb.perform,0,24.296,1.25865,8,22.815,1.04652,8,average egg-to-pupa development time of P. brassicae raised on the cultivated B. oleracea var. Stonehead and the wild population Kimmeridge (days)
693,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1b,herb.perform,0,22.815,1.04652,8,22.815,1.04652,8,average egg-to-pupa development time of P. brassicae raised on the cultivated B. oleracea var. Stonehead and the wild population Old Harry (days)
694,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,f1b,herb.perform,0,22.815,0.41861,8,22.815,1.04652,8,average egg-to-pupa development time of P. brassicae raised on the cultivated B. oleracea var. Stonehead and the wild population Winspit (days)
695,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,"f3a, f3c",chem,0,8.4805,3.40274,8,10.61214286,10.61214,7,"average glucosinolate concentrations in leaf tissues of undamaged B. oleracea, cultivated var. Cyrus and wild population Kimmeridge"
696,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,"f3a, f3d",chem,0,43.06325,12.10621,8,10.61214286,10.61214,7,"average glucosinolate concentrations in leaf tissues of undamaged B. oleracea, cultivated var. Cyrus and wild population Winspit"
697,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,gemmifera cv. Cyrus,brussels sprouts,ha,m,v,l,nh,"f3a, f3e",chem,0,19.913875,5.13506,8,10.61214286,10.61214,7,"average glucosinolate concentrations in leaf tissues of undamaged B. oleracea, cultivated var. Cyrus and wild population Old Harry"
698,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Kimmeridge,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,"f3b, f3c",chem,0,8.4805,3.40274,8,7.662428571,3.04325,8,"average glucosinolate concentrations in leaf tissues of undamaged B. oleracea, cultivated var. Stonehead and wild population Kimmeridge"
699,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Winspit,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,"f3b, f3d",chem,0,43.06325,12.10621,8,7.662428571,3.04325,8,"average glucosinolate concentrations in leaf tissues of undamaged B. oleracea, cultivated var. Stonehead and wild population Winspit"
700,34,Harvey et al ,2011,Brassicaceae,Brassica_oleracea,Old Harry,Brassica_oleracea,alba cv. Stonehead,cabbage,ha,m,v,l,h,"f3b, f3e",chem,0,19.913875,5.13506,8,7.662428571,3.04325,8,"average glucosinolate concentrations in leaf tissues of undamaged B. oleracea, cultivated var. Stonehead and wild population Old Harry"
719,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_oleracea,L. variety italica (Green Comet),broccoli,ha,m,v,l,nh,f1a,herb.pref,1,17.238,2.652,4,23.204,3.316,4,Choice Test number of eggs layed per female Plutella xylotella
720,35,Idris and Grafius,1996,Brassicaceae,Brassica_nigra,L. Koch,Brassica_oleracea,L. variety italica (Green Comet),broccoli,ha,m,v,l,nh,f1a,herb.pref,1,13.591,2.486,4,23.204,3.316,4,Choice Test number of eggs layed per female Plutella xylotella
721,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_napus,L.,rapeseed,ha,m,o,l,nh,f1a,herb.pref,1,17.238,2.652,4,20.055,3.482,4,Choice Test number of eggs layed per female Plutella xylotella
722,35,Idris and Grafius,1996,Brassicaceae,Brassica_nigra,L. Koch,Brassica_napus,L.,rapeseed,ha,m,o,l,nh,f1a,herb.pref,1,13.591,2.486,4,20.055,3.482,4,Choice Test number of eggs layed per female Plutella xylotella
723,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_oleracea,L. variety italica (Green Comet),broccoli,ha,m,v,l,nh,f2a,herb.perform,1,71.217,9.494,4,77.448,10.09,4,Percent larval survival from hatching through 2nd instar of Plutella xylostella
724,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_oleracea,L. variety acephala (Nagoya Mix),kale,ha,m,v,l,h,f2a,herb.perform,1,71.217,9.494,4,86.35,10.682,4,Percent larval survival from hatching through 2nd instar of Plutella xylostella
725,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_oleracea,L. variety botrytis (Early Snowball A),cauliflower,ha,m,v,l,nh,f2a,herb.perform,1,71.217,9.494,4,88.131,14.242,4,Percent larval survival from hatching through 2nd instar of Plutella xylostella
726,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_oleracea,L. variety capitata (Early Great Dutch),cabbage,ha,m,v,l,h,f2a,herb.perform,1,71.217,9.494,4,70.326,8.31,4,Percent larval survival from hatching through 2nd instar of Plutella xylostella
727,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_oleracea,L. variety capitata (Ruby Ball),cabbage,ha,m,v,l,h,f2a,herb.perform,1,71.217,9.494,4,51.929,16.024,4,Percent larval survival from hatching through 2nd instar of Plutella xylostella
728,35,Idris and Grafius,1996,Brassicaceae,Brassica_kaber,D. C. Wheeler,Brassica_napus,L. ,rapeseed,ha,m,o,l,nh,f2a,herb.perform,1,71.217,9.494,4,75.371,10.088,4,Percent larval survival from hatching through 2nd instar of Plutella xylostella
729,35,Idris and Grafius,1996,Brassicaceae,Brassica_nigra,L. Koch,Brassica_oleracea,L. variety italica (Green Comet),broccoli,ha,m,v,l,nh,f2a,herb.perform,1,67.062,9.496,4,77.448,10.09,4,Percent larval survival from hatching through 2nd instar of Plutella xylostella
